"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
695578,"Wood, James",660,0.9028727770177839,477,"75.884125106",0.6212121212121211,0.33752620545073375,0.24393939393939393,0.2348008385744235,0.1696969696969697,"7.627995091",27,4.272340125099345,183,0.2772727272727273,243,0.36818181818181817
663586,"Riley, Austin",731,0.9024691358024691,529,"75.86789643",0.5991792065663474,0.28544423440453687,0.20656634746922026,0.19659735349716445,0.14227086183310533,"7.559262955",17,-11.847417800857126,202,0.2763337893296854,247,0.3378932968536252
673357,"Robert Jr., Luis",557,0.9027552674230146,399,"75.732134255",0.585278276481149,0.2556390977443609,0.18312387791741472,0.15037593984962405,0.10771992818671454,"7.843623232",15,-12.70125420485543,158,0.2836624775583483,184,0.3303411131059246
680718,"Barger, Addison",511,0.9125,385,"75.673455616",0.6105675146771036,0.33766233766233766,0.25440313111545987,0.23636363636363636,0.1780821917808219,"7.698079609",3,0.7147828365553563,126,0.2465753424657534,192,0.37573385518590996
660821,"Sánchez, Jesús",542,0.9078726968174204,410,"75.67334762",0.5811808118081182,0.3121951219512195,0.23616236162361623,0.18292682926829268,0.13837638376383765,"6.888064723",10,-13.223740419382091,132,0.24354243542435425,209,0.3856088560885609
686948,"Baldwin, Drake",417,0.9065217391304348,341,"75.438900671",0.5899280575539569,0.3255131964809384,0.26618705035971224,0.20234604105571846,0.16546762589928057,"7.171934125",7,-0.45874859134008306,76,0.18225419664268586,169,0.4052757793764988
672356,"Arias, Gabriel",534,0.902027027027027,322,"75.359118596",0.5393258426966291,0.2888198757763975,0.17415730337078653,0.15527950310559005,0.09363295880149813,"7.642221404",15,-14.856354149015132,212,0.3970037453183521,159,0.29775280898876405
683002,"Henderson, Gunnar",652,0.9068150208623088,504,"75.33546615",0.532208588957055,0.3353174603174603,0.25920245398773006,0.22420634920634921,0.17331288343558282,"7.286664095",12,-6.292721145548623,148,0.22699386503067484,254,0.3895705521472393
682985,"Greene, Riley",800,0.9049773755656109,537,"75.173120225",0.5349999999999998,0.2532588454376164,0.17,0.15083798882681565,0.10125,"7.188640438",3,-3.4464798833622132,263,0.32875,225,0.28125
683146,"Baty, Brett",460,0.9090909090909091,336,"75.154399609",0.517391304347826,0.3125,0.22826086956521738,0.18154761904761904,0.13260869565217392,"7.364316043",6,-3.925731190926667,124,0.26956521739130435,163,0.35434782608695653
663728,"Raleigh, Cal",825,0.9026258205689278,598,"75.140804558",0.5442424242424245,0.2826086956521739,0.20484848484848484,0.17725752508361203,0.12848484848484848,"7.881663321",18,8.212028612239187,227,0.27515151515151515,252,0.3054545454545455
669065,"Stowers, Kyle",679,0.9029255319148937,468,"75.106467835",0.5243004418262153,0.28846153846153844,0.19882179675994108,0.18162393162393162,0.1251840942562592,"6.756751664",23,8.462482958146207,211,0.31075110456553756,210,0.30927835051546393
621439,"Buxton, Byron",611,0.9065281899109793,444,"75.062392848",0.49427168576104746,0.31756756756756754,0.23076923076923078,0.2072072072072072,0.15057283142389524,"7.927971358",9,12.687648416743793,167,0.2733224222585925,220,0.36006546644844517
682663,"Ramírez, Agustín",541,0.9077181208053692,408,"74.928434214",0.5323475046210722,0.3480392156862745,0.26247689463955637,0.23529411764705882,0.17744916820702403,"7.534161128",10,-7.889008504297395,133,0.24584103512014788,231,0.4269870609981516
656305,"Chapman, Matt",510,0.901060070671378,389,"74.890643725",0.4980392156862745,0.3110539845758355,0.2372549019607843,0.1928020565552699,0.14705882352941177,"7.479392412",16,-9.400589661769612,121,0.2372549019607843,185,0.3627450980392157
669394,"Burger, Jake",492,0.9044117647058824,356,"74.760314715",0.5020325203252032,0.3146067415730337,0.22764227642276422,0.21910112359550563,0.15853658536585366,"7.432859756",10,-11.609460794138062,136,0.2764227642276423,183,0.3719512195121951
606466,"Marte, Ketel",463,0.9060665362035225,360,"74.738562333",0.47300215982721383,0.35833333333333334,0.2786177105831533,0.2111111111111111,0.16414686825053995,"7.858198056",9,0.6195547673987454,103,0.2224622030237581,197,0.42548596112311016
682998,"Carroll, Corbin",656,0.9010989010989011,497,"74.690093704",0.4481707317073171,0.30181086519114686,0.22865853658536586,0.19718309859154928,0.14939024390243902,"7.271213323",13,0.8852212862015088,159,0.2423780487804878,231,0.3521341463414634
592518,"Machado, Manny",763,0.9051008303677343,596,"74.652011586",0.45216251638269983,0.3540268456375839,0.2765399737876802,0.2197986577181208,0.17169069462647443,"7.816957746",13,-3.45479280466558,167,0.21887287024901703,307,0.40235910878112713
677951,"Witt Jr., Bobby",729,0.9078455790784558,554,"74.560124335",0.48010973936899887,0.36462093862815886,0.27709190672153633,0.20938628158844766,0.15912208504801098,"7.04425177",15,-3.6756942593432615,175,0.24005486968449932,295,0.4046639231824417
682829,"De La Cruz, Elly",681,0.9043824701195219,476,"74.551500338",0.45374449339207046,0.35084033613445376,0.24522760646108663,0.21428571428571427,0.14977973568281938,"7.172123495",14,-1.3590691946738978,205,0.3010279001468429,261,0.3832599118942731
657757,"Sheets, Gavin",639,0.9038189533239038,510,"74.542634069",0.5023474178403757,0.33725490196078434,0.26917057902973396,0.18627450980392157,0.1486697965571205,"7.742601002",15,-6.334558574436789,129,0.20187793427230047,265,0.41471048513302033
680776,"Duran, Jarren",744,0.9062119366626066,546,"74.520062836",0.4543010752688171,0.31684981684981683,0.2325268817204301,0.18864468864468864,0.13844086021505375,"7.467941008",11,-11.336832852863111,198,0.2661290322580645,282,0.3790322580645161
547180,"Harper, Bryce",585,0.901386748844376,404,"74.466494479",0.47008547008547,0.30198019801980197,0.20854700854700856,0.19306930693069307,0.13333333333333333,"7.397866632",9,-6.7664853407215855,181,0.3094017094017094,193,0.3299145299145299
701358,"Smith, Cam",649,0.905160390516039,473,"74.382266256",0.46841294298921415,0.26004228329809725,0.18952234206471494,0.15856236786469344,0.11556240369799692,"7.281659815",10,-9.813160274157958,176,0.2711864406779661,216,0.33281972265023113
