"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
666971,"Gurriel Jr., Lourdes","R","R",28.60512202372111,25.83496377928329,24.832717952951374,-14.235010118940023,31.283490004049952,2.747330852711972
607043,"Nimmo, Brandon","L","L",28.27490280022474,31.57326038874171,25.85210114153598,-10.438426965810926,26.896064222840163,-1.3018428825606705
665487,"Tatis Jr., Fernando","R","R",26.275149836367515,29.319971567488373,23.1644891168567,-43.397801064131386,29.435891733148534,3.1607418967809906
669065,"Stowers, Kyle","L","L",29.439557701381563,29.32448740164449,34.537465270165825,-9.75134660037505,31.66529564449811,2.263472450916449
518692,"Freeman, Freddie","L","L",29.05934365568012,30.087494293018853,32.86251924859349,1.4157964325356545,26.457800425647385,-2.5918665425926815
592885,"Yelich, Christian","L","L",27.870821440042977,29.31525289840697,31.96634954599879,0.052408335150730845,27.161125513419726,-0.709695926623322
696100,"Goodman, Hunter","R","R",28.68061174692602,29.34335938814897,19.34983833295349,-17.769718797306727,38.96046262063327,10.380416975389672
661388,"Contreras, William","R","R",28.973677056758486,27.831015927434752,28.56877460803877,4.6500183076412345,30.004034464566164,1.0303574078076494
691406,"Caminero, Junior","R","R",27.703474657245092,28.55618827114996,28.534959389192682,-30.180545547366656,35.22716269808842,3.107675848229178
666018,"Aranda, Jonathan","L","L",27.238611682323505,29.434704016542135,31.298084216022527,-17.305158041271593,27.38305905930237,-8.110384020193484
673548,"Suzuki, Seiya","R","R",27.567375780516226,27.85928997269388,29.79741048575661,-4.695418926499716,34.7408762897387,7.173500509222443
702616,"Holliday, Jackson","L","L",25.53098771224608,28.312060664223175,25.5565421213267,-4.686384965980327,25.43758910746316,-0.05373996738841669
679529,"Torkelson, Spencer","R","R",32.95582452492134,28.03370483729393,26.412694431056423,-16.373320635928337,30.312217888348883,-2.643606636572466
695578,"Wood, James","L","L",31.02359572698567,29.60077012122433,27.602145722350322,-22.74661733187259,32.703403656324696,1.6798079293389634
650490,"Díaz, Yandy","R","R",29.320730969992177,28.517338677758776,28.790150270453193,-29.930189667825722,30.685866915698426,1.3651359457062355
671739,"Harris II, Michael","L","L",31.132943087878925,28.840484893937866,19.929594896210947,-11.712385719714392,29.802163845223678,-1.3307792426552751
691016,"Soderstrom, Tyler","L","L",29.0721475513189,30.95432398708517,32.62799113320337,-6.519015858350701,28.5298077607166,-0.478955991898129
682998,"Carroll, Corbin","L","L",30.59059008923119,29.39235200111309,26.01110608759801,-3.157981294497164,36.85701496973937,6.266424880508147
683002,"Henderson, Gunnar","L","L",26.057953337433563,26.444592410834044,30.609547471491812,-4.378615432206235,32.78016422536051,6.6834488853189455
650333,"Arraez, Luis","L","L",33.777995917377005,25.799372311664815,27.681879415936248,-25.224258561474436,31.687684794418562,-1.9616064621965599
664034,"France, Ty","R","R",28.458075817310867,26.91845354109834,31.920338268288745,-29.273328498921114,27.28110989638097,-1.1742915265029445
683011,"Volpe, Anthony","R","R",28.72040251576964,29.19699449021893,27.117509680632295,2.2278911546082467,24.609982738283215,-3.989160742322376
701358,"Smith, Cam","R","R",25.190809506446033,30.35242227325523,34.04200068286244,-11.626428745996773,28.520293955517133,3.400523770265565
668715,"Steer, Spencer","R","R",28.816900118569365,25.498954420614385,35.822957630626426,-4.917805339177037,32.65910597953045,3.842205860961112
